identificaciones,nombre latino
acropygadubitata,Acropyga dubitata
acropygaparvidens,Acropyga parvidens
anochetushaytianus,Anochetus haytianus
anochetuslongispinus,Anochetus longispinus
anochetusmayri,Anochetus mayri
aphaenogasterrelicta,Aphaenogaster relicta
aphaenogasterrelictaepinotalis,Aphaenogaster relicta epinotalis
bothriomyrmexenigmaticus,Bothriomyrmex enigmaticus
brachymyrmexheeri,Brachymyrmex heeri
brachymyrmexobscurior,Brachymyrmex obscurior
camponotusalbistramineus,Camponotus albistramineus
camponotusaltivagans,Camponotus altivagans
camponotusaugustei,Camponotus augustei
camponotuschristophei,Camponotus christophei
camponotusclaviscapusoccultus,Camponotus claviscapus occultus
camponotusfumidusfraterculus,Camponotus fumidus fraterculus
camponotusfumidushaytianus,Camponotus fumidus haytianus
camponotusfumidusillitus,Camponotus fumidus illitus
camponotusfumidusimbecillus,Camponotus fumidus imbecillus
camponotusfumidussoulouquei,Camponotus fumidus soulouquei
camponotuslucayanus,Camponotus lucayanus
camponotuspicipesplombyi,Camponotus picipes plombyi
camponotusramulorumvernulus,Camponotus ramulorum vernulus
camponotussaussurei,Camponotus saussurei
camponotussexguttatus,Camponotus sexguttatus
camponotustoussainti,Camponotus toussainti
camponotusustus,Camponotus ustus
cardiocondylaemeryi,Cardiocondyla emeryi
cardiocondylaminutior,Cardiocondyla minutior
cardiocondylavenustula,Cardiocondyla venustula
cephalotesargentiventris,Cephalotes argentiventris
cephalotesauricomus,Cephalotes auricomus
cephalotesdecoloratus,Cephalotes decoloratus
cephalotesflavigaster,Cephalotes flavigaster
cephaloteshamulus,Cephalotes hamulus
cephalotesunimaculatus,Cephalotes unimaculatus
cephalotesvinosus,Cephalotes vinosus
crematogasterrussoi,Crematogaster russoi
crematogastersteinheili,Crematogaster steinheili
cylindromyrmexdarlingtoni,Cylindromyrmex darlingtoni
cyphomyrmexminutus,Cyphomyrmex minutus
cyphomyrmexrimosus,Cyphomyrmex rimosus
discothyreatestacea,Discothyrea testacea
dorymyrmexantillana,Dorymyrmex antillana
eurhopalothrixfloridana,Eurhopalothrix floridana
fulakorafalcata,Fulakora falcata
