codigomuestra,parcela,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones
P1M3,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T17:42:39Z,2019-09-26T17:42:39Z,uuid:9833e53b-0fb0-4866-860e-91a72c8d7eb5,2019-09-26,"dgb,otra",El tali,uuid:9833e53b-0fb0-4866-860e-91a72c8d7eb5,pheidolesp
P27M2,p27,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T17:42:39Z,2019-09-26T17:42:39Z,uuid:a09b4476-29aa-45b7-bee6-d9bcd8bf2ab1,2019-09-26,"dgb,otra",El tali,uuid:a09b4476-29aa-45b7-bee6-d9bcd8bf2ab1,"pheidolesp,solenopsissp"
P1M2,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-09-26T17:42:40Z,2019-09-26T17:42:40Z,uuid:85a9f5da-78f8-4823-ba71-240693f2613d,2019-09-26,"dgb,otra",El tali,uuid:85a9f5da-78f8-4823-ba71-240693f2613d,paratrechinasp
P25M3,p25,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:51Z,2019-10-02T14:17:51Z,uuid:cbc8e427-7d09-4928-b437-803131ef6673,2019-10-02,dgb,NULL,uuid:cbc8e427-7d09-4928-b437-803131ef6673,solenopsissp
P1M1,p1,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:51Z,2019-10-02T14:17:51Z,uuid:6f4ab141-d70b-4a92-909e-aaf7c5ddfca6,2019-10-02,dgb,NULL,uuid:6f4ab141-d70b-4a92-909e-aaf7c5ddfca6,paratrechinasp
P10M2,p10,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:51Z,2019-10-02T14:17:51Z,uuid:e099700b-ba60-47da-b18a-3306c34a5416,2019-10-02,dgb,NULL,uuid:e099700b-ba60-47da-b18a-3306c34a5416,solenopsissp
P27M1,p27,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:52Z,2019-10-02T14:17:52Z,uuid:ee61b671-fd14-48d1-9843-3268edf24de8,2019-10-02,dgb,NULL,uuid:ee61b671-fd14-48d1-9843-3268edf24de8,solenopsissp
P10M1,p10,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:52Z,2019-10-02T14:17:52Z,uuid:fe6256eb-00f5-43c7-a2bb-09d59a964c30,2019-10-02,dgb,NULL,uuid:fe6256eb-00f5-43c7-a2bb-09d59a964c30,dorymyrmexsp
P25M1,p25,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:53Z,2019-10-02T14:17:53Z,uuid:00fc68f2-ff88-471f-9012-502c126e3af6,2019-10-02,dgb,NULL,uuid:00fc68f2-ff88-471f-9012-502c126e3af6,solenopsissp
P25M2,p25,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:53Z,2019-10-02T14:17:53Z,uuid:62e236ac-9b2c-4244-8149-8c88077e72b3,2019-10-02,dgb,NULL,uuid:62e236ac-9b2c-4244-8149-8c88077e72b3,pheidolesp
P10M3,p10,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:54Z,2019-10-02T14:17:54Z,uuid:5e76d094-8f22-4060-9825-c7bf3c3027a8,2019-10-02,dgb,NULL,uuid:5e76d094-8f22-4060-9825-c7bf3c3027a8,paratrechinasp
P78M1,p78,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:54Z,2019-10-02T14:17:54Z,uuid:60063602-c4d4-4b31-acd7-db3ae28b451e,2019-10-02,dgb,NULL,uuid:60063602-c4d4-4b31-acd7-db3ae28b451e,dorymyrmexsp
P163M2,p163,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:55Z,2019-10-02T14:17:55Z,uuid:f6c16c33-db50-43d0-a5b9-7b5bbeb37d02,2019-10-02,dgb,NULL,uuid:f6c16c33-db50-43d0-a5b9-7b5bbeb37d02,paratrechinasp
P70M1,p70,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:55Z,2019-10-02T14:17:55Z,uuid:1e2128c5-fbb9-4955-8f5a-0f879635ff31,2019-10-02,dgb,NULL,uuid:1e2128c5-fbb9-4955-8f5a-0f879635ff31,dorymyrmexsp
P148M1,p148,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:56Z,2019-10-02T14:17:56Z,uuid:5ebecff3-7640-4105-b4d1-d42c5b9aa308,2019-10-02,dgb,NULL,uuid:5ebecff3-7640-4105-b4d1-d42c5b9aa308,pheidolesp
P147M1,p147,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:56Z,2019-10-02T14:17:56Z,uuid:9b14c311-f16f-4b23-b39c-c3020c3657d2,2019-10-02,dgb,NULL,uuid:9b14c311-f16f-4b23-b39c-c3020c3657d2,pheidolesp
P147M2,p147,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:56Z,2019-10-02T14:17:56Z,uuid:eaf3b2bf-1d15-43be-a368-fe1e42e07203,2019-10-02,dgb,NULL,uuid:eaf3b2bf-1d15-43be-a368-fe1e42e07203,dorymyrmexsp
P163M1,p163,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:57Z,2019-10-02T14:17:57Z,uuid:fb13ff12-e482-4a79-9201-2ad507ebce68,2019-10-02,dgb,NULL,uuid:fb13ff12-e482-4a79-9201-2ad507ebce68,solenopsissp
P70M3,p70,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:58Z,2019-10-02T14:17:58Z,uuid:002683f0-4227-47de-a35f-2769ace230a5,2019-10-02,dgb,NULL,uuid:002683f0-4227-47de-a35f-2769ace230a5,solenopsissp
P42M2,p42,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:58Z,2019-10-02T14:17:58Z,uuid:4b3bca7b-b32a-4d12-93d3-de7b297b0b5d,2019-10-02,dgb,NULL,uuid:4b3bca7b-b32a-4d12-93d3-de7b297b0b5d,dorymyrmexsp
P42M1,p42,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T14:17:58Z,2019-10-02T14:17:58Z,uuid:956856ca-c4c7-4bed-9246-571c326fb4c8,2019-10-02,dgb,NULL,uuid:956856ca-c4c7-4bed-9246-571c326fb4c8,solenopsissp
PN42M3,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T14:55:52Z,2019-10-02T14:55:52Z,uuid:4389ecc0-2d00-429f-a094-75203825a38a,2019-10-02,eagv,NULL,uuid:4389ecc0-2d00-429f-a094-75203825a38a,solenopsissp
PN42M1,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T15:21:16Z,2019-10-02T15:21:16Z,uuid:96b215fd-0a6f-4f96-9e18-8582205aca2a,2019-10-02,eagv,NULL,uuid:96b215fd-0a6f-4f96-9e18-8582205aca2a,"monomoriumsp,solenopsissp"
PN42M2,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:17227113-7725-4f02-bbd3-1e1aadf8f084,2019-10-02,eagv,NULL,uuid:17227113-7725-4f02-bbd3-1e1aadf8f084,solenopsissp
PN21M2,p21,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:9ea67257-64e2-47af-9718-b41b5f4bcfdb,2019-10-02,eagv,NULL,uuid:9ea67257-64e2-47af-9718-b41b5f4bcfdb,monomoriumsp
PN22M1,p22,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:a996f1a9-fe0b-423b-ba86-8f32dfac98d3,2019-10-02,eagv,NULL,uuid:a996f1a9-fe0b-423b-ba86-8f32dfac98d3,monomoriumsp
PN42M4,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:4809e5b2-999d-4f21-b74e-bbbdff0db35e,2019-10-02,eagv,NULL,uuid:4809e5b2-999d-4f21-b74e-bbbdff0db35e,paratrechinasp
PN21M1,p21,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:38Z,2019-10-02T16:29:38Z,uuid:02692c86-9866-4380-bae8-5c7658934b57,2019-10-02,eagv,NULL,uuid:02692c86-9866-4380-bae8-5c7658934b57,solenopsissp
P70M2,p70,uid:dahianagb07|2019-08-27T17:29:46.698583Z,2019-10-02T18:07:49Z,2019-10-02T18:07:49Z,uuid:512ed2f7-effc-4ea5-a914-1f28a75ccf2e,2019-10-02,dgb,NULL,uuid:512ed2f7-effc-4ea5-a914-1f28a75ccf2e,solenopsissp
20190927B1,p182,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16T21:56:48Z,2019-10-16T21:56:48Z,uuid:40af017e-3e55-4ce0-bd96-2d37bf0adae4,2019-10-16,bacs,NULL,uuid:40af017e-3e55-4ce0-bd96-2d37bf0adae4,"dorymyrmexsp,pheidolesp"
20190928B2,p105,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16T21:56:48Z,2019-10-16T21:56:48Z,uuid:90278726-0e67-4aff-91f5-657416443979,2019-10-16,bacs,NULL,uuid:90278726-0e67-4aff-91f5-657416443979,paratrechinasp
20191012B5,p17,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16T21:56:49Z,2019-10-16T21:56:49Z,uuid:d185eb2c-b9ae-43f4-a72d-c55ce20cb82f,2019-10-16,bacs,NULL,uuid:d185eb2c-b9ae-43f4-a72d-c55ce20cb82f,solenopsissp
20190928B3,p169,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16T21:56:49Z,2019-10-16T21:56:49Z,uuid:785b0a63-f3b9-4331-9839-69e578ca43be,2019-10-16,bacs,NULL,uuid:785b0a63-f3b9-4331-9839-69e578ca43be,"dorymyrmexsp,reina(s)"
20190928B4,p122,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16T21:56:49Z,2019-10-16T21:56:49Z,uuid:a842255c-d3aa-4402-9448-6bcf8805d78f,2019-10-16,bacs,NULL,uuid:a842255c-d3aa-4402-9448-6bcf8805d78f,dorymyrmexsp
20191012B6,p53,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16T21:56:50Z,2019-10-16T21:56:50Z,uuid:d55a1deb-60c5-4e1a-9326-1cbe00ba2982,2019-10-16,bacs,NULL,uuid:d55a1deb-60c5-4e1a-9326-1cbe00ba2982,"pseudomyrmexsp,solenopsissp"
20191012B7,p39,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16T21:56:50Z,2019-10-16T21:56:50Z,uuid:ae8af103-6943-4865-97d2-754edf99897b,2019-10-16,bacs,NULL,uuid:ae8af103-6943-4865-97d2-754edf99897b,dorymyrmexsp
20191014B8,p160,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16T21:56:50Z,2019-10-16T21:56:50Z,uuid:8fa8cc2e-e7a2-4714-a25c-6cf34428471d,2019-10-16,bacs,NULL,uuid:8fa8cc2e-e7a2-4714-a25c-6cf34428471d,dorymyrmexsp
20191014B9,p78,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16T21:56:50Z,2019-10-16T21:56:50Z,uuid:09ddaca1-4aa4-4f5a-a41b-71db57295ae0,2019-10-16,bacs,NULL,uuid:09ddaca1-4aa4-4f5a-a41b-71db57295ae0,dorymyrmexsp
20191014B10,p187,uid:bidelkiscastillo|2019-08-27T17:29:46.697501Z,2019-10-16T21:56:51Z,2019-10-16T21:56:51Z,uuid:fa052fb7-a738-46f6-8024-fe7965048321,2019-10-16,bacs,NULL,uuid:fa052fb7-a738-46f6-8024-fe7965048321,"dorymyrmexsp,paratrechinasp"
20191014M07,p97,uid:emdilone|2019-08-29T15:45:41.211906Z,2019-10-17T16:26:45Z,2019-10-17T16:26:45Z,uuid:75625987-c772-4c24-bd53-e7bdd23a6638,2019-10-17,emdr,NULL,uuid:75625987-c772-4c24-bd53-e7bdd23a6638,"brachymyrmexsp,monomoriumsp,pheidolesp"
