"","Brachymyrmex","Cardiocondyla","Dorymyrmex","Monomorium","Odontomachus","Paratrechina","Pheidole","Pseudomyrmex","Solenopsis","Tetramorium","Wasmannia"
"p104",0,0,0,0,0,0,0,0,0,0,0
"p105",0,0,0,0,0,1,0,0,0,0,0
"p107",0,1,1,1,0,0,1,0,1,0,0
"p122",1,0,1,0,0,0,0,0,0,0,0
"p126",0,0,0,0,0,0,0,0,0,0,0
"p132",0,0,1,0,0,0,1,1,1,1,0
"p134",1,1,0,0,0,0,1,0,1,0,0
"p135",1,0,1,0,0,0,1,0,0,0,0
"p140",0,0,0,0,0,0,0,0,0,0,0
"p148",0,0,1,0,0,1,0,0,0,0,0
"p156",0,0,0,0,0,0,0,0,0,0,0
"p158",0,0,0,0,0,0,0,0,1,0,0
"p16",1,0,1,0,0,0,1,0,1,0,0
"p160",0,0,1,0,0,0,0,0,0,0,0
"p169",0,0,1,0,0,0,0,0,0,0,0
"p17",0,0,0,0,0,0,0,0,1,0,0
"p171",1,0,1,0,0,0,0,0,1,0,0
"p178",0,0,1,0,0,1,0,0,0,0,0
"p182",0,0,1,1,0,0,1,0,1,0,0
"p187",0,0,1,0,0,1,0,0,0,0,0
"p24",1,1,1,0,0,1,1,0,0,1,0
"p25",1,0,1,0,0,0,1,0,1,0,0
"p28",1,0,1,0,0,0,1,0,1,0,0
"p33",1,1,1,0,0,0,1,0,1,0,1
"p39",0,0,1,0,0,0,0,0,0,0,0
"p40",0,0,0,0,0,0,0,0,1,0,0
"p41",0,0,0,0,0,0,0,0,1,0,0
"p42",1,0,1,0,0,1,0,0,1,0,0
"p44",0,0,1,0,0,1,1,0,1,0,0
"p49",0,0,1,0,0,0,0,0,1,0,0
"p53",0,0,0,0,0,0,0,1,1,0,0
"p54",1,0,1,0,1,0,1,0,0,0,0
"p64",0,0,1,0,0,0,0,0,1,0,0
"p78",0,0,1,0,0,0,0,0,0,0,0
"p8",0,0,1,0,0,1,0,0,0,0,0
"p86",1,0,1,0,0,0,0,0,0,0,0
"p88",1,0,1,0,0,0,1,0,1,0,0
"p97",1,0,0,1,0,0,1,0,0,0,0
