"","Brachymyrmex","Cardiocondyla","Dorymyrmex","Monomorium","Paratrechina","Pheidole","Pseudomyrmex","Solenopsis"
"p1",0,0,0,0,1,1,0,0
"p10",0,0,1,0,1,0,0,1
"p106",0,0,0,0,0,0,0,0
"p109",0,0,0,0,0,0,0,0
"p131",1,0,0,1,0,0,0,0
"p143",1,0,0,0,0,0,0,1
"p147",0,0,1,0,0,1,0,0
"p148",0,0,0,0,0,1,0,0
"p151",0,0,0,0,1,0,0,0
"p157",0,0,1,0,0,0,0,0
"p159",0,0,0,0,0,0,0,0
"p160",1,0,1,0,0,1,1,1
"p163",0,0,0,0,1,0,0,1
"p166",0,0,0,0,1,0,0,1
"p167",0,0,0,1,0,0,0,1
"p168",0,0,1,0,0,0,0,0
"p170",0,0,0,0,0,0,0,0
"p179",1,0,1,0,0,0,0,1
"p21",0,0,0,1,0,0,0,1
"p22",0,0,0,1,0,0,0,0
"p25",0,0,1,0,0,1,0,1
"p27",1,0,1,0,0,1,0,1
"p42",0,0,1,1,1,0,0,1
"p66",0,0,1,0,0,0,0,1
"p68",0,0,0,0,0,0,0,0
"p70",0,0,1,0,0,0,0,1
"p77",0,0,0,0,0,0,0,1
"p78",1,1,1,0,0,1,0,0
"p81",0,0,0,0,0,0,0,0
"p86",0,0,0,0,0,0,0,1
