parcela,tipo
p1,"pavimentado, acerado (bordes edificios, bancos, postes)"
p2,"pavimentado, acerado (bordes edificios, bancos, postes)"
p3,"pavimentado, acerado (bordes edificios, bancos, postes)"
p4,edificación erguida
p5,"pavimentado, acerado (bordes edificios, bancos, postes)"
p6,edificación erguida
p7,edificación erguida
p8,"pavimentado, acerado (bordes edificios, bancos, postes)"
p9,"pavimentado, acerado (bordes edificios, bancos, postes)"
p10,"suelo, herbáceas, no edificado ni cubierto"
p11,edificación erguida
p12,edificación erguida
p13,edificación erguida
p14,edificación erguida
p15,edificación erguida
p16,"suelo, herbáceas, no edificado ni cubierto"
p17,"suelo, herbáceas, no edificado ni cubierto"
p18,"suelo, herbáceas, no edificado ni cubierto"
p19,"suelo, herbáceas, no edificado ni cubierto"
p20,edificación erguida
p21,edificación erguida
p22,edificación erguida
p23,edificación erguida
p24,dosel
p25,"suelo, herbáceas, no edificado ni cubierto"
p26,"suelo, herbáceas, no edificado ni cubierto"
p27,"suelo, herbáceas, no edificado ni cubierto"
p28,"suelo, herbáceas, no edificado ni cubierto"
p29,"suelo, herbáceas, no edificado ni cubierto"
p30,"suelo, herbáceas, no edificado ni cubierto"
p31,dosel
p32,dosel
p33,dosel
p34,edificación erguida
p35,edificación erguida
p36,edificación erguida
p37,"suelo, herbáceas, no edificado ni cubierto"
p38,"suelo, herbáceas, no edificado ni cubierto"
p39,"suelo, herbáceas, no edificado ni cubierto"
p40,"suelo, herbáceas, no edificado ni cubierto"
p41,"suelo, herbáceas, no edificado ni cubierto"
p42,"suelo, herbáceas, no edificado ni cubierto"
p43,dosel
p44,dosel
p45,edificación erguida
p46,edificación erguida
p47,edificación erguida
p48,edificación erguida
p49,dosel
p50,dosel
p51,edificación erguida
p52,"suelo, herbáceas, no edificado ni cubierto"
p53,"pavimentado, acerado (bordes edificios, bancos, postes)"
p54,dosel
p55,dosel
p56,edificación erguida
p57,edificación erguida
p58,edificación erguida
p59,edificación erguida
p60,edificación erguida
p61,edificación erguida
p62,edificación erguida
p63,dosel
p64,"suelo, herbáceas, no edificado ni cubierto"
p65,dosel
p66,"suelo, herbáceas, no edificado ni cubierto"
p67,"suelo, herbáceas, no edificado ni cubierto"
p68,edificación erguida
p69,edificación erguida
p70,"suelo, herbáceas, no edificado ni cubierto"
p71,"pavimentado, acerado (bordes edificios, bancos, postes)"
p72,edificación erguida
p73,edificación erguida
p74,edificación erguida
p75,edificación erguida
p76,edificación erguida
p77,"suelo, herbáceas, no edificado ni cubierto"
p78,"pavimentado, acerado (bordes edificios, bancos, postes)"
p79,"pavimentado, acerado (bordes edificios, bancos, postes)"
p80,"suelo, herbáceas, no edificado ni cubierto"
p81,"suelo, herbáceas, no edificado ni cubierto"
p82,"suelo, herbáceas, no edificado ni cubierto"
p83,edificación erguida
p84,edificación erguida
p85,"pavimentado, acerado (bordes edificios, bancos, postes)"
p86,"suelo, herbáceas, no edificado ni cubierto"
p87,edificación erguida
p88,dosel
p89,"pavimentado, acerado (bordes edificios, bancos, postes)"
p90,edificación erguida
p91,edificación erguida
p92,edificación erguida
p93,dosel
p94,"pavimentado, acerado (bordes edificios, bancos, postes)"
p95,"pavimentado, acerado (bordes edificios, bancos, postes)"
p96,edificación erguida
p97,dosel
p98,dosel
p99,edificación erguida
p100,edificación erguida
p101,edificación erguida
p102,edificación erguida
p103,"pavimentado, acerado (bordes edificios, bancos, postes)"
p104,"pavimentado, acerado (bordes edificios, bancos, postes)"
p105,"pavimentado, acerado (bordes edificios, bancos, postes)"
p106,"pavimentado, acerado (bordes edificios, bancos, postes)"
p107,"suelo, herbáceas, no edificado ni cubierto"
p108,"pavimentado, acerado (bordes edificios, bancos, postes)"
p109,dosel
p110,"pavimentado, acerado (bordes edificios, bancos, postes)"
p111,"pavimentado, acerado (bordes edificios, bancos, postes)"
p112,dosel
p113,dosel
p114,dosel
p115,edificación erguida
p116,dosel
p117,edificación erguida
p118,edificación erguida
p119,edificación erguida
p120,edificación erguida
p121,edificación erguida
p122,"suelo, herbáceas, no edificado ni cubierto"
p123,edificación erguida
p124,edificación erguida
p125,"suelo, herbáceas, no edificado ni cubierto"
p126,"pavimentado, acerado (bordes edificios, bancos, postes)"
p127,"pavimentado, acerado (bordes edificios, bancos, postes)"
p128,"pavimentado, acerado (bordes edificios, bancos, postes)"
p129,"pavimentado, acerado (bordes edificios, bancos, postes)"
p130,"pavimentado, acerado (bordes edificios, bancos, postes)"
p131,"pavimentado, acerado (bordes edificios, bancos, postes)"
p132,dosel
p133,dosel
p134,dosel
p135,dosel
p136,edificación erguida
p137,dosel
p138,edificación erguida
p139,edificación erguida
p140,"pavimentado, acerado (bordes edificios, bancos, postes)"
p141,edificación erguida
p142,"pavimentado, acerado (bordes edificios, bancos, postes)"
