codigomuestra,parcela,usuarionid,fechacreacionnid,fechaenvionid,idodknidos,horainicio,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones
PN42M1,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-09-26T22:06:57Z,2019-09-26T22:06:57Z,uuid:93d18478-0b3f-4da8-8536-f641232701a1,5.30 pm,-69.9196063355,18.4628537611,0,0,Helado bon,1a5,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:93d18478-0b3f-4da8-8536-f641232701a1,"dgb,eagv",uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T15:21:16Z,2019-10-02T15:21:16Z,uuid:96b215fd-0a6f-4f96-9e18-8582205aca2a,2019-10-02,eagv,NULL,uuid:96b215fd-0a6f-4f96-9e18-8582205aca2a,"monomoriumsp,solenopsissp"
PN42M2,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-09-26T22:06:57Z,2019-09-26T22:06:57Z,uuid:8d95c735-c34f-4095-b28f-30f3f4397da1,5.45 pm,-69.9195852131,18.462736094,0,0,NULL,1a5,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:8d95c735-c34f-4095-b28f-30f3f4397da1,"dgb,eagv",uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:17227113-7725-4f02-bbd3-1e1aadf8f084,2019-10-02,eagv,NULL,uuid:17227113-7725-4f02-bbd3-1e1aadf8f084,solenopsissp
PN42M3,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-09-26T22:06:57Z,2019-09-26T22:06:57Z,uuid:41ebaba0-b192-4fd0-9773-420d087dbde7,5.45 pm,-69.9195345864,18.4626457765,0,0,NULL,1a5,1a5,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:41ebaba0-b192-4fd0-9773-420d087dbde7,"dgb,eagv",uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T14:55:52Z,2019-10-02T14:55:52Z,uuid:4389ecc0-2d00-429f-a094-75203825a38a,2019-10-02,eagv,NULL,uuid:4389ecc0-2d00-429f-a094-75203825a38a,solenopsissp
PN42M4,p42,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-09-26T22:06:57Z,2019-09-26T22:06:57Z,uuid:64edbc6a-f69b-4230-92c8-50e6a4e082db,6.00 pm,-69.9194373563,18.4627628076,0,0,NULL,1a5,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:64edbc6a-f69b-4230-92c8-50e6a4e082db,"dgb,eagv",uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:4809e5b2-999d-4f21-b74e-bbbdff0db35e,2019-10-02,eagv,NULL,uuid:4809e5b2-999d-4f21-b74e-bbbdff0db35e,paratrechinasp
PN21M1,p21,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-09-26T22:26:31Z,2019-09-26T22:26:31Z,uuid:f6bc8b88-bb54-42eb-b55d-60781e7868c2,6.13 pm,-69.9174088519,18.4633430745,-2,3,Área del comedor,1a5,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,Hierbas,uuid:f6bc8b88-bb54-42eb-b55d-60781e7868c2,"dgb,eagv",uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:38Z,2019-10-02T16:29:38Z,uuid:02692c86-9866-4380-bae8-5c7658934b57,2019-10-02,eagv,NULL,uuid:02692c86-9866-4380-bae8-5c7658934b57,solenopsissp
PN21M2,p21,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-09-26T22:26:31Z,2019-09-26T22:26:31Z,uuid:6cfd769f-9ebb-4c9d-9202-cb523ca32ba1,6.24 pm,-69.9173644278,18.4634356108,-16,4,Área del comedor,1a5,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:6cfd769f-9ebb-4c9d-9202-cb523ca32ba1,"dgb,eagv",uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:9ea67257-64e2-47af-9718-b41b5f4bcfdb,2019-10-02,eagv,NULL,uuid:9ea67257-64e2-47af-9718-b41b5f4bcfdb,monomoriumsp
PN22M1,p22,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-09-26T22:26:31Z,2019-09-26T22:26:31Z,uuid:20a326c5-e98d-403e-b7b0-41fe75f0856f,6.30 pm,-69.91723652,18.4633837268,-9,3,Área del comedor,1a5,0,1a5,2019-09-26T00:00:00Z,NULL,NULL,NULL,uuid:20a326c5-e98d-403e-b7b0-41fe75f0856f,"dgb,eagv",uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-02T16:29:37Z,2019-10-02T16:29:37Z,uuid:a996f1a9-fe0b-423b-ba86-8f32dfac98d3,2019-10-02,eagv,NULL,uuid:a996f1a9-fe0b-423b-ba86-8f32dfac98d3,monomoriumsp
PN166M1,p166,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:12Z,2019-10-15T18:29:12Z,uuid:68d250ed-a498-4d69-94de-1bee779d9a2d,10.00 am,-69.9167199433,18.4597784881,0,0,Facultad de ciencias,6a9,6a9,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:68d250ed-a498-4d69-94de-1bee779d9a2d,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:18Z,2019-10-17T21:24:18Z,uuid:4d6de643-e0ab-406a-b6d7-9de7bc42bb18,2019-10-17,eagv,NULL,uuid:4d6de643-e0ab-406a-b6d7-9de7bc42bb18,paratrechinasp
PN166M2,p166,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:12Z,2019-10-15T18:29:12Z,uuid:1c48cd4a-78dc-4991-ac74-4ed7641b1557,10.14 am,-69.9166522175,18.4596182034,0,0,Facultad de ciencias,1a5,1a5,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:1c48cd4a-78dc-4991-ac74-4ed7641b1557,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:17Z,2019-10-17T21:24:17Z,uuid:6d132bf2-eaf8-4d94-8f82-cd3836858dbd,2019-10-17,eagv,NULL,uuid:6d132bf2-eaf8-4d94-8f82-cd3836858dbd,solenopsissp
PN166M3,p166,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-15T18:29:13Z,2019-10-15T18:29:13Z,uuid:16bebb9e-e3e4-4397-9c57-5e2e5ab309b7,10.16 am,-69.9166451767,18.4596159773,0,0,Facultad de ciencias,1a5,1a5,1a5,2019-10-09T00:00:00Z,NULL,NULL,NULL,uuid:16bebb9e-e3e4-4397-9c57-5e2e5ab309b7,eagv,uid:enrique193|2019-08-27T17:32:44.132698Z,2019-10-17T21:24:16Z,2019-10-17T21:24:16Z,uuid:f2a74eeb-8a5d-4a0e-b81a-ad8d77cbb23a,2019-10-17,eagv,NULL,uuid:f2a74eeb-8a5d-4a0e-b81a-ad8d77cbb23a,solenopsissp
