codigomuestra,parcela,usuariohab,fechacreacionhab,fechaenviohab,idodkhabitat,horainicio,horafinal,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,actividadpersonas,actividadcebo1,actividadcebo2,actividadcebo3,actividadcebo4,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores,idparentaltiposdecebo,tiposdecebo,idparentalcebosbajo,cebosbajo,idparentalcebossobre,cebossobre,idparentalcebosotrosele,cebosotrosele,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones
H20191012m7,p88,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-10-15T15:42:23Z,2019-10-15T15:42:23Z,uuid:c479fa66-dc2c-464a-9909-4583d94a5d64,11.06 am,12.06 pm,-69.91936761,18.46168501,-1,15.1700000763,Frente ciencias económicas y sociales,10omas,0,1a5,10omas,0,10omas,1a5,1a5,2019-10-12T00:00:00Z,NULL,NULL,NULL,uuid:c479fa66-dc2c-464a-9909-4583d94a5d64,jdmp,uuid:c479fa66-dc2c-464a-9909-4583d94a5d64,"atun_tuna,aceite",uuid:c479fa66-dc2c-464a-9909-4583d94a5d64,dosel,uuid:c479fa66-dc2c-464a-9909-4583d94a5d64,hierba,uuid:c479fa66-dc2c-464a-9909-4583d94a5d64,no_aplica,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-11-19T16:16:23Z,2019-11-19T16:16:23Z,uuid:15a054ec-6ddb-40bc-a9d1-68f9686914cb,2019-11-12,"jdmp,otra",Dijael,uuid:15a054ec-6ddb-40bc-a9d1-68f9686914cb,"brachymyrmexsp,dorymyrmexantillana,pheidolesubarmata,solenopsisgeminata"
H20190929m5,p49,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-10-15T15:42:18Z,2019-10-15T15:42:18Z,uuid:f2124428-9511-4bcf-94ee-33c39ea14957,2.25 pm,3.44 pm,-69.91581529,18.46276661,4,24.2719993591,NULL,10omas,0,1a5,6a9,10omas,10omas,10omas,6a9,2019-09-29T00:00:00Z,NULL,NULL,NULL,uuid:f2124428-9511-4bcf-94ee-33c39ea14957,jdmp,uuid:f2124428-9511-4bcf-94ee-33c39ea14957,atun_tuna,uuid:f2124428-9511-4bcf-94ee-33c39ea14957,dosel,uuid:f2124428-9511-4bcf-94ee-33c39ea14957,"cemento_pavimento,hierba",uuid:f2124428-9511-4bcf-94ee-33c39ea14957,"ramas_troncos,hojarasca",uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-11-19T16:16:22Z,2019-11-19T16:16:22Z,uuid:93fe5a1e-1ce9-4d12-a51a-3854796f66ce,2019-11-07,"jdmp,otra",Dijael,uuid:93fe5a1e-1ce9-4d12-a51a-3854796f66ce,"dorymyrmexantillana,solenopsisgeminata"
H20190929m6,p54,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-10-15T15:42:21Z,2019-10-15T15:42:21Z,uuid:ba5fea68-afe4-4dd3-ba20-6c4c6d418c02,5.47 pm,6.42 pm,-69.91340053,18.46264322,-31,13.6529998779,Bienestar estudiantil,1a5,0,1a5,1a5,1a5,10omas,1a5,10omas,2019-09-29T00:00:00Z,NULL,NULL,"Pata de vaca, noni",uuid:ba5fea68-afe4-4dd3-ba20-6c4c6d418c02,jdmp,uuid:ba5fea68-afe4-4dd3-ba20-6c4c6d418c02,atun_tuna,uuid:ba5fea68-afe4-4dd3-ba20-6c4c6d418c02,dosel,uuid:ba5fea68-afe4-4dd3-ba20-6c4c6d418c02,"hierba,cemento_pavimento",uuid:ba5fea68-afe4-4dd3-ba20-6c4c6d418c02,"hojarasca,basura_restos_comida,ramas_troncos",uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-11-19T16:16:21Z,2019-11-19T16:16:21Z,uuid:30afc9a5-53d7-4b5d-9ec9-b9cca2899535,2019-11-07,"jdmp,otra",Dijael,uuid:30afc9a5-53d7-4b5d-9ec9-b9cca2899535,"brachymyrmexsp,dorymyrmexantillana,odontomachusbauri,pheidolesubarmata"
H20190928m3,p25,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-10-15T15:42:13Z,2019-10-15T15:42:13Z,uuid:14144fd8-be71-4ebf-b1a0-c4a7309b2145,9.20 am,10.34 am,-69.91553849,18.46336217,-9,13.6529998779,Campo de béisbol UASD,0,0,1a5,0,1a5,10omas,10omas,6a9,2019-09-29T00:00:00Z,NULL,Se reúnen más rápido en suelo desnudo,NULL,uuid:14144fd8-be71-4ebf-b1a0-c4a7309b2145,jdmp,uuid:14144fd8-be71-4ebf-b1a0-c4a7309b2145,atun_tuna,uuid:14144fd8-be71-4ebf-b1a0-c4a7309b2145,despejado,uuid:14144fd8-be71-4ebf-b1a0-c4a7309b2145,hierba,uuid:14144fd8-be71-4ebf-b1a0-c4a7309b2145,no_aplica,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-11-19T16:16:23Z,2019-11-19T16:16:23Z,uuid:889fa4e3-2bc3-4fef-9906-905e5aa247f8,2019-11-07,"jdmp,otra",Dijael,uuid:889fa4e3-2bc3-4fef-9906-905e5aa247f8,"brachymyrmexsp,dorymyrmexantillana,pheidolejelskii,solenopsisgeminata"
H20191013m10,p182,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-10-15T15:42:30Z,2019-10-15T15:42:30Z,uuid:42324205-a927-418e-b3be-0a5dcebcda35,11.11 am,12.08 pm,-69.91822678,18.45860336,-17,18.2039985657,Detrás de NU,0,0,1a5,0,0,6a9,10omas,6a9,2019-10-13T00:00:00Z,NULL,NULL,NULL,uuid:42324205-a927-418e-b3be-0a5dcebcda35,"jdmp,mlt",uuid:42324205-a927-418e-b3be-0a5dcebcda35,"atun_tuna,aceite",uuid:42324205-a927-418e-b3be-0a5dcebcda35,despejado,uuid:42324205-a927-418e-b3be-0a5dcebcda35,hierba,uuid:42324205-a927-418e-b3be-0a5dcebcda35,no_aplica,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-11-19T16:16:21Z,2019-11-19T16:16:21Z,uuid:c2fa1ce8-ff4f-4371-9702-b1f18d3dc668,2019-11-07,"jdmp,otra",Dijael,uuid:c2fa1ce8-ff4f-4371-9702-b1f18d3dc668,"dorymyrmexantillana,pheidolesubarmata,solenopsisgeminata"
H20190926m1,p28,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-10-15T15:42:09Z,2019-10-15T15:42:09Z,uuid:2da30a19-1c4d-45d8-843b-326a0c0e38d7,6.03 pm,7.27 pm,-69.91463817,18.46386139,-19,13.6529998779,Estadio universitario de softball,no_aplica,0,1a5,1a5,10omas,10omas,10omas,10omas,2019-09-26T00:00:00Z,NULL,Grama rodeada de tierra desnuda,NULL,uuid:2da30a19-1c4d-45d8-843b-326a0c0e38d7,"jdmp,otras",uuid:2da30a19-1c4d-45d8-843b-326a0c0e38d7,"atun_tuna,aceite",uuid:2da30a19-1c4d-45d8-843b-326a0c0e38d7,no_aplica,uuid:2da30a19-1c4d-45d8-843b-326a0c0e38d7,hierba,uuid:2da30a19-1c4d-45d8-843b-326a0c0e38d7,no_aplica,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-11-19T16:16:23Z,2019-11-19T16:16:23Z,uuid:a3359016-524b-4ed2-9cff-dee2b05623da,2019-11-12,"jdmp,otra",Dijael,uuid:a3359016-524b-4ed2-9cff-dee2b05623da,"brachymyrmexsp,pheidolejelskii,solenopsisgeminata"
H20190929m4,p44,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-10-15T15:42:16Z,2019-10-15T15:42:16Z,uuid:c3b96761-28ef-4423-983b-e12204ac7810,11.36 am,12.58 pm,-69.91850888,18.46299621,-15,7.5850000381,Parque frente sismologico,6a9,0,10omas,0,10omas,10omas,10omas,10omas,2019-09-29T00:00:00Z,NULL,NULL,NULL,uuid:c3b96761-28ef-4423-983b-e12204ac7810,jdmp,uuid:c3b96761-28ef-4423-983b-e12204ac7810,atun_tuna,uuid:c3b96761-28ef-4423-983b-e12204ac7810,"dosel,despejado",uuid:c3b96761-28ef-4423-983b-e12204ac7810,"suelo_tierra,hierba",uuid:c3b96761-28ef-4423-983b-e12204ac7810,"hojarasca,ramas_troncos,rocas",uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-11-19T16:16:22Z,2019-11-19T16:16:22Z,uuid:82f6867b-3277-4ed6-aa56-c18581864fe6,2019-11-07,"jdmp,otra",Dijael,uuid:82f6867b-3277-4ed6-aa56-c18581864fe6,"dorymyrmexantillana,paratrechinalongicornis,pheidolesubarmata,solenopsisgeminata"
H20190927,p64,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-10-15T15:42:11Z,2019-10-15T15:42:11Z,uuid:3c595780-a757-4256-bc17-99aa9be05711,6.19 pm,7.47 pm,-69.91501619,18.46239868,-12,6.0679998398,Entre de voleyball y de soccer,10omas,0,1a5,1a5,10omas,10omas,10omas,10omas,2019-09-27T00:00:00Z,"Freddy, Pablo",NULL,NULL,uuid:3c595780-a757-4256-bc17-99aa9be05711,"jdmp,otras",uuid:3c595780-a757-4256-bc17-99aa9be05711,atun_tuna,uuid:3c595780-a757-4256-bc17-99aa9be05711,despejado,uuid:3c595780-a757-4256-bc17-99aa9be05711,hierba,uuid:3c595780-a757-4256-bc17-99aa9be05711,basura_restos_comida,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-11-19T16:16:22Z,2019-11-19T16:16:22Z,uuid:fbffa2be-464b-4da7-bfd3-00b477ab838b,2019-11-07,"jdmp,otra",Dijael,uuid:fbffa2be-464b-4da7-bfd3-00b477ab838b,"dorymyrmexantillana,solenopsisgeminata"
H20191013m11,p135,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-10-15T18:07:32Z,2019-10-15T18:07:32Z,uuid:e3b900c7-c69a-4469-b9e5-900e0ac4c773,1.17 pm,2.10 pm,-69.9153785035,18.4603159493,0,0,Frente a registro,6a9,0,1a5,0,0,6a9,10omas,10omas,2019-10-13T00:00:00Z,NULL,Una parte del suelo fue removido recientemente.,NULL,uuid:e3b900c7-c69a-4469-b9e5-900e0ac4c773,jdmp,uuid:e3b900c7-c69a-4469-b9e5-900e0ac4c773,"atun_tuna,aceite",uuid:e3b900c7-c69a-4469-b9e5-900e0ac4c773,dosel,uuid:e3b900c7-c69a-4469-b9e5-900e0ac4c773,"hierba,suelo_tierra",uuid:e3b900c7-c69a-4469-b9e5-900e0ac4c773,"hojarasca,ramas_troncos",uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-11-19T16:00:40Z,2019-11-19T16:00:40Z,uuid:a12fd142-23bf-4f84-bfce-3e0ec6cb61e6,2019-11-07,"jdmp,otra",Dijael,uuid:a12fd142-23bf-4f84-bfce-3e0ec6cb61e6,"brachymyrmexsp,dorymyrmexantillana,pheidolesubarmata"
H20191012m8,p41,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-10-15T15:42:25Z,2019-10-15T15:42:25Z,uuid:a0b16198-dfe0-4e73-8dd2-547ff68100fc,4.46 pm,5.31 pm,-69.9136985,18.4630539,-20,6.0679998398,Play frente a bienestar estudiantil,10omas,0,1a5,6a9,6a9,6a9,1a5,10omas,2019-10-12T00:00:00Z,NULL,Tierra muy dura.,NULL,uuid:a0b16198-dfe0-4e73-8dd2-547ff68100fc,"jdmp,mlt",uuid:a0b16198-dfe0-4e73-8dd2-547ff68100fc,"atun_tuna,aceite",uuid:a0b16198-dfe0-4e73-8dd2-547ff68100fc,despejado,uuid:a0b16198-dfe0-4e73-8dd2-547ff68100fc,hierba,uuid:a0b16198-dfe0-4e73-8dd2-547ff68100fc,no_aplica,uid:jorge-mutonen|2019-08-27T17:32:44.138229Z,2019-11-24T16:57:15Z,2019-11-24T16:57:15Z,uuid:a141d4d8-1bd4-4d33-bf5f-e77f609ba7aa,2019-11-22,"jdmp,otra","Dijael, Freddy, Jesús",uuid:a141d4d8-1bd4-4d33-bf5f-e77f609ba7aa,solenopsisgeminata
