codigomuestra,parcela,usuarionid,fechacreacionnid,fechaenvionid,idodknidos,horainicio,longitud,latitud,elevacion,precisioncoords,localidad,distanciaabasura,distanciaagua,distanciavias,fechacolecta,otroscolectores,observaciones,plantas,idparentalcolec,siglascolectores,usuarioident,fechacreacionident,fechaenvioident,idodkident,fechaidentificacion,identificadores,otrosidentificadores,idparentalidentificaciones,identificaciones
NA,p106,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-09-30T17:14:22Z,2019-09-30T17:14:22Z,uuid:da95c62d-7bf9-4dbf-863f-3f301b308755,11.24 am,-69.9197613169,18.4611429507,-17,2.5,Economia,10omas,1a5,1a5,2019-09-28T00:00:00Z,NULL,No se reportaron nidos,Palma,uuid:da95c62d-7bf9-4dbf-863f-3f301b308755,kmfg,NA,NA,NA,NA,NA,NA,NA,NA,NA
20190928k2.1,p157,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-09-30T17:14:40Z,2019-09-30T17:14:40Z,uuid:8deba8ed-5afd-4769-a46f-49c2336c5e27,3.00 pm,-69.9209216237,18.4597488306,-6,3.5,Parqueo de la torre administrativa por la puerta,10omas,1a5,6a9,2019-09-28T00:00:00Z,Bidelkis,NULL,Palma,uuid:8deba8ed-5afd-4769-a46f-49c2336c5e27,"kmfg,otras",uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-11-02T22:10:07Z,2019-11-02T22:10:07Z,uuid:352513f6-a40b-48ca-b7a4-e9fb3b7aea2f,2019-10-18,kmfg,NULL,uuid:352513f6-a40b-48ca-b7a4-e9fb3b7aea2f,dorymyrmexsp
20191013k3,p143,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-09-30T17:14:58Z,2019-09-30T17:14:58Z,uuid:a4850976-70bc-4052-a457-d83df9b54f83,4.45 pm,-69.9202723615,18.4603853943,2,9.5,NULL,10omas,0,1a5,2019-09-28T00:00:00Z,NULL,NULL,Frambollan,uuid:a4850976-70bc-4052-a457-d83df9b54f83,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:07:41Z,2019-10-31T15:07:41Z,uuid:4119dfa0-e30d-4828-888b-f7ed187588dd,2019-10-16,kmfg,NULL,uuid:4119dfa0-e30d-4828-888b-f7ed187588dd,solenopsissp
20190928k3,p143,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-09-30T17:14:58Z,2019-09-30T17:14:58Z,uuid:a4850976-70bc-4052-a457-d83df9b54f83,4.45 pm,-69.9202723615,18.4603853943,2,9.5,NULL,10omas,0,1a5,2019-09-28T00:00:00Z,NULL,NULL,Frambollan,uuid:a4850976-70bc-4052-a457-d83df9b54f83,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:07:41Z,2019-10-31T15:07:41Z,uuid:87945b65-c5ed-461c-9bdf-9377c01e1e06,2019-10-16,kmfg,NULL,uuid:87945b65-c5ed-461c-9bdf-9377c01e1e06,brachymyrmexsp
20191012k4,p66,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:19Z,2019-10-13T03:50:19Z,uuid:9251b30f-ef82-417e-b796-b9f4e10d9d81,12.32 pm,-69.9141315278,18.4623827599,-22,2,Cancha de futbol,10omas,0,1a5,2019-10-12T00:00:00Z,NULL,Tres nidos,No sé,uuid:9251b30f-ef82-417e-b796-b9f4e10d9d81,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:56:16Z,2019-10-31T14:56:16Z,uuid:936c79d7-6164-4fd4-8076-db7cdf6dc3cb,2019-10-16,kmfg,NULL,uuid:936c79d7-6164-4fd4-8076-db7cdf6dc3cb,solenopsissp
20191012k4.2,p66,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:19Z,2019-10-13T03:50:19Z,uuid:9251b30f-ef82-417e-b796-b9f4e10d9d81,12.32 pm,-69.9141315278,18.4623827599,-22,2,Cancha de futbol,10omas,0,1a5,2019-10-12T00:00:00Z,NULL,Tres nidos,No sé,uuid:9251b30f-ef82-417e-b796-b9f4e10d9d81,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:56:16Z,2019-10-31T14:56:16Z,uuid:2c0b3cef-fb22-4b24-8b4d-12906cb75fdc,2019-10-18,kmfg,NULL,uuid:2c0b3cef-fb22-4b24-8b4d-12906cb75fdc,dorymyrmexsp
20191012k4.1,p66,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:19Z,2019-10-13T03:50:19Z,uuid:9251b30f-ef82-417e-b796-b9f4e10d9d81,12.32 pm,-69.9141315278,18.4623827599,-22,2,Cancha de futbol,10omas,0,1a5,2019-10-12T00:00:00Z,NULL,Tres nidos,No sé,uuid:9251b30f-ef82-417e-b796-b9f4e10d9d81,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:56:16Z,2019-10-31T14:56:16Z,uuid:22f23020-4745-47ee-84f5-b79ebe97fa15,2019-10-18,kmfg,NULL,uuid:22f23020-4745-47ee-84f5-b79ebe97fa15,solenopsissp
20191013k7.1,p179,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:32Z,2019-10-13T03:50:32Z,uuid:bbb5e17d-5f82-4a91-ad47-149ef7dc68e2,3.50 pm,-69.9193868972,18.4586417908,-26,4,Transportacion,10omas,1a5,10omas,2019-10-12T00:00:00Z,NULL,Hoyo septico descubierto,Mango,uuid:bbb5e17d-5f82-4a91-ad47-149ef7dc68e2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:54:08Z,2019-10-31T14:54:08Z,uuid:3cf256c4-be3f-4e39-adce-f43d32f8d9fa,2019-10-18,kmfg,NULL,uuid:3cf256c4-be3f-4e39-adce-f43d32f8d9fa,brachymyrmexsp
20191013k7,p179,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:32Z,2019-10-13T03:50:32Z,uuid:bbb5e17d-5f82-4a91-ad47-149ef7dc68e2,3.50 pm,-69.9193868972,18.4586417908,-26,4,Transportacion,10omas,1a5,10omas,2019-10-12T00:00:00Z,NULL,Hoyo septico descubierto,Mango,uuid:bbb5e17d-5f82-4a91-ad47-149ef7dc68e2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T14:54:08Z,2019-10-31T14:54:08Z,uuid:d2315b6c-c3ed-442d-891c-912a76474545,2019-10-18,kmfg,NULL,uuid:d2315b6c-c3ed-442d-891c-912a76474545,dorymyrmexsp
20191012k5,p179,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-13T03:50:32Z,2019-10-13T03:50:32Z,uuid:bbb5e17d-5f82-4a91-ad47-149ef7dc68e2,3.50 pm,-69.9193868972,18.4586417908,-26,4,Transportacion,10omas,1a5,10omas,2019-10-12T00:00:00Z,NULL,Hoyo septico descubierto,Mango,uuid:bbb5e17d-5f82-4a91-ad47-149ef7dc68e2,kmfg,uid:maritzafg|2019-08-27T17:32:44.140548Z,2019-10-31T15:02:44Z,2019-10-31T15:02:44Z,uuid:de761dc2-d945-4c75-8bcc-ec5be16d2571,2019-10-24,kmfg,NULL,uuid:de761dc2-d945-4c75-8bcc-ec5be16d2571,solenopsissp
